Username,Email,MembershipStatus,Location
masonmarvin,masonmarvin@hotmail.com,False,"Kinshasa, DR Congo"
mary00,mary00@outlook.com,False,"Suzhou, China"
hectorgrant,hectorgrant@gmail.com,False,"San Diego, United States"
tammy12,tammy12@hotmail.com,False,"Kuwait City, Kuwait"
lyonsandrew,lyonsandrew@gmail.com,False,"Riyadh, Saudi Arabia"
martinezwilliam,martinezwilliam@hotmail.com,True,"Baghdad, Iraq"
dsalazar,dsalazar@hotmail.com,True,"Belo Horizonte, Brazil"
emily86,emily86@yahoo.com,True,"Dallas, United States"
wattshannah,wattshannah@yahoo.com,False,"Monterrey, Mexico"
jennifer86,jennifer86@outlook.com,False,"San Diego, United States"
vgarcia,vgarcia@gmail.com,False,"Houston, United States"
debra67,debra67@gmail.com,False,"New York, United States"
timothy03,timothy03@gmail.com,False,"Nanjing, China"
codylynch,codylynch@yahoo.com,True,"Tashkent, Uzbekistan"
mariahayes,mariahayes@gmail.com,False,"Chicago, United States"
dmoore,dmoore@yahoo.com,False,"Kuala Lumpur, Malaysia"
johnmcdaniel,johnmcdaniel@hotmail.com,True,"Barcelona, Spain"
wardwilliam,wardwilliam@gmail.com,True,"Lima, Peru"
joycegiles,joycegiles@hotmail.com,False,"Santiago, Chile"
jamie01,jamie01@yahoo.com,False,"Pune, India"
garciajimmy,garciajimmy@gmail.com,True,"Santiago, Chile"
jcarlson,jcarlson@outlook.com,False,"Kinshasa, DR Congo"
burgesspaul,burgesspaul@hotmail.com,False,"Recife, Brazil"
matthewgutierrez,matthewgutierrez@hotmail.com,False,"New York, United States"
theresa24,theresa24@gmail.com,True,"Barcelona, Spain"
margaret51,margaret51@yahoo.com,False,"Philadelphia, United States"
andrew41,andrew41@outlook.com,True,"Antananarivo, Madagascar"
angela07,angela07@outlook.com,False,"Ahmedabad, India"
lauramcintosh,lauramcintosh@yahoo.com,False,"Hyderabad, India"
qdaniels,qdaniels@yahoo.com,True,"Pretoria, South Africa"
nealpenny,nealpenny@gmail.com,True,"Kyiv, Ukraine"
hudsonkarl,hudsonkarl@outlook.com,True,"Chengdu, China"
swilson,swilson@outlook.com,False,"Kigali, Rwanda"
collinsmichele,collinsmichele@hotmail.com,True,"Paris, France"
ydeleon,ydeleon@outlook.com,False,"Dhaka, Bangladesh"
richardrobertson,richardrobertson@gmail.com,True,"Kigali, Rwanda"
slopez,slopez@outlook.com,True,"Osaka, Japan"
patriciatate,patriciatate@hotmail.com,False,"Fukuoka, Japan"
kevin50,kevin50@yahoo.com,False,"Karachi, Pakistan"
mbarrett,mbarrett@yahoo.com,True,"Ahmedabad, India"
dtrujillo,dtrujillo@hotmail.com,True,"Hyderabad, India"
daniel32,daniel32@gmail.com,False,"Dhaka, Bangladesh"
rebeccaliu,rebeccaliu@gmail.com,False,"Antananarivo, Madagascar"
ericksonderek,ericksonderek@outlook.com,True,"Luanda, Angola"
davidhall,davidhall@gmail.com,False,"Wuhan, China"
leeharrison,leeharrison@outlook.com,False,"Kyiv, Ukraine"
joshua12,joshua12@hotmail.com,False,"Guangzhou, China"
westlauren,westlauren@hotmail.com,False,"Kyiv, Ukraine"
cwright,cwright@hotmail.com,False,"Hyderabad, India"
kathleenhoffman,kathleenhoffman@yahoo.com,True,"São Paulo, Brazil"
patrick36,patrick36@hotmail.com,False,"Munich, Germany"
rayanne,rayanne@hotmail.com,True,"Yokohama, Japan"
isaiahstevens,isaiahstevens@gmail.com,False,"Chongqing, China"
barnesleonard,barnesleonard@outlook.com,True,"Toronto, Canada"
qbradley,qbradley@outlook.com,False,"Beijing, China"
stephensrichard,stephensrichard@outlook.com,True,"Lusaka, Zambia"
catherine20,catherine20@outlook.com,False,"Tashkent, Uzbekistan"
michael70,michael70@outlook.com,True,"Casablanca, Morocco"
shelia64,shelia64@gmail.com,False,"Mumbai, India"
james64,james64@yahoo.com,False,"Chicago, United States"
zimmermanbrianna,zimmermanbrianna@outlook.com,False,"Accra, Ghana"
michele13,michele13@outlook.com,False,"Lima, Peru"
xboyd,xboyd@yahoo.com,False,"Pretoria, South Africa"
dianavalencia,dianavalencia@gmail.com,False,"Belo Horizonte, Brazil"
kevin59,kevin59@outlook.com,True,"Santiago, Chile"
greenmichael,greenmichael@gmail.com,False,"Kuala Lumpur, Malaysia"
michael55,michael55@yahoo.com,False,"Tel Aviv, Israel"
jimeneztimothy,jimeneztimothy@outlook.com,True,"Kinshasa, DR Congo"
carpenterbenjamin,carpenterbenjamin@outlook.com,False,"Amsterdam, Netherlands"
cassandralawrence,cassandralawrence@yahoo.com,True,"Shenzhen, China"
ystokes,ystokes@outlook.com,False,"Pyongyang, North Korea"
jennifer80,jennifer80@yahoo.com,False,"Bangkok, Thailand"
danielle93,danielle93@yahoo.com,False,"Casablanca, Morocco"
amandaburns,amandaburns@yahoo.com,True,"Philadelphia, United States"
xrice,xrice@yahoo.com,False,"Nanjing, China"
troyreynolds,troyreynolds@outlook.com,True,"Melbourne, Australia"
simmonsjorge,simmonsjorge@yahoo.com,True,"Toronto, Canada"
joshuaholland,joshuaholland@hotmail.com,False,"Houston, United States"
ywatson,ywatson@outlook.com,True,"Philadelphia, United States"
wisecasey,wisecasey@yahoo.com,False,"Santiago, Chile"
hensontyler,hensontyler@yahoo.com,True,"Zagreb, Croatia"
matthewsantos,matthewsantos@gmail.com,False,"Chicago, United States"
daustin,daustin@gmail.com,False,"Recife, Brazil"
lindsey06,lindsey06@gmail.com,False,"Ho Chi Minh City, Vietnam"
hojames,hojames@outlook.com,True,"São Luís, Brazil"
dawn06,dawn06@hotmail.com,False,"Munich, Germany"
robertsullivan,robertsullivan@gmail.com,True,"Dhaka, Bangladesh"
samantha16,samantha16@hotmail.com,False,"Tel Aviv, Israel"
hgonzalez,hgonzalez@hotmail.com,False,"São Paulo, Brazil"
zhamilton,zhamilton@hotmail.com,False,"Tianjin, China"
markssarah,markssarah@hotmail.com,True,"Karachi, Pakistan"
fred61,fred61@hotmail.com,True,"Milan, Italy"
murrayregina,murrayregina@yahoo.com,False,"Belo Horizonte, Brazil"
martinjustin,martinjustin@gmail.com,True,"Bangalore, India"
awilliams,awilliams@hotmail.com,False,"Rome, Italy"
toni52,toni52@gmail.com,True,"Lahore, Pakistan"
christine85,christine85@outlook.com,False,"Tehran, Iran"
wrightalicia,wrightalicia@gmail.com,True,"Nagoya, Japan"
amy76,amy76@gmail.com,True,"Nagoya, Japan"
johnsoncarla,johnsoncarla@hotmail.com,False,"Guangzhou, China"
parkercathy,parkercathy@outlook.com,False,"London, United Kingdom"
heatherkirk,heatherkirk@outlook.com,False,"Mexico City, Mexico"
xpatel,xpatel@yahoo.com,False,"Osaka, Japan"
erictaylor,erictaylor@hotmail.com,False,"São Paulo, Brazil"
amurray,amurray@gmail.com,False,"Shenzhen, China"
monicaclark,monicaclark@yahoo.com,True,"Houston, United States"
john86,john86@hotmail.com,True,"Shanghai, China"
thompsonkatrina,thompsonkatrina@hotmail.com,False,"Kinshasa, DR Congo"
fmoore,fmoore@hotmail.com,True,"Tashkent, Uzbekistan"
stewartmiguel,stewartmiguel@hotmail.com,True,"Luanda, Angola"
ogibbs,ogibbs@gmail.com,True,"San Diego, United States"
donnagarcia,donnagarcia@hotmail.com,True,"Hong Kong, China"
taylorgina,taylorgina@outlook.com,True,"Lima, Peru"
david31,david31@gmail.com,True,"Casablanca, Morocco"
sydney34,sydney34@hotmail.com,False,"Guatemala City, Guatemala"
perezrichard,perezrichard@gmail.com,True,"Rio de Janeiro, Brazil"
melaniemathis,melaniemathis@yahoo.com,True,"Pyongyang, North Korea"
alexiscampbell,alexiscampbell@yahoo.com,True,"Porto Alegre, Brazil"
benjamin91,benjamin91@gmail.com,False,"Porto Alegre, Brazil"
amanda91,amanda91@gmail.com,True,"London, United Kingdom"
walterslauren,walterslauren@yahoo.com,True,"Wuhan, China"
christophershepherd,christophershepherd@yahoo.com,True,"Amsterdam, Netherlands"
thomasjoshua,thomasjoshua@yahoo.com,True,"Rome, Italy"
hannahcooper,hannahcooper@gmail.com,True,"Chicago, United States"
johnburgess,johnburgess@hotmail.com,False,"Recife, Brazil"
kaylalloyd,kaylalloyd@gmail.com,True,"Chicago, United States"
castrobarbara,castrobarbara@yahoo.com,True,"Shijiazhuang, China"
keith91,keith91@outlook.com,False,"Monterrey, Mexico"
karenchang,karenchang@outlook.com,True,"Kigali, Rwanda"
tmiller,tmiller@outlook.com,True,"Kuwait City, Kuwait"
mackenzierichardson,mackenzierichardson@gmail.com,False,"Kuwait City, Kuwait"
dwilliams,dwilliams@yahoo.com,True,"Lagos, Nigeria"
carrieclark,carrieclark@outlook.com,True,"Bangkok, Thailand"
imcdaniel,imcdaniel@gmail.com,False,"Tashkent, Uzbekistan"
sarah86,sarah86@hotmail.com,False,"Kampala, Uganda"
timothy29,timothy29@hotmail.com,True,"Buenos Aires, Argentina"
jenniferweaver,jenniferweaver@yahoo.com,False,"Tianjin, China"
martin36,martin36@outlook.com,False,"Rome, Italy"
edwardslisa,edwardslisa@gmail.com,False,"Jakarta, Indonesia"
lindawilson,lindawilson@yahoo.com,True,"Tianjin, China"
millerronald,millerronald@gmail.com,True,"Kuala Lumpur, Malaysia"
ochoajohn,ochoajohn@yahoo.com,True,"Luanda, Angola"
julia39,julia39@gmail.com,False,"Chennai, India"
yfrost,yfrost@gmail.com,False,"São Paulo, Brazil"
bianca04,bianca04@gmail.com,False,"Lisbon, Portugal"
tammy75,tammy75@outlook.com,True,"Yokohama, Japan"
drewwilliams,drewwilliams@gmail.com,False,"Shenzhen, China"
karenphillips,karenphillips@outlook.com,False,"Nanjing, China"
masonlisa,masonlisa@outlook.com,True,"Bogotá, Colombia"
martinezmichael,martinezmichael@hotmail.com,True,"Rio de Janeiro, Brazil"
pmoreno,pmoreno@yahoo.com,False,"Ho Chi Minh City, Vietnam"
qjames,qjames@gmail.com,False,"Chennai, India"
victoriarangel,victoriarangel@yahoo.com,False,"Tokyo, Japan"
zmorris,zmorris@yahoo.com,True,"Nanjing, China"
foxsara,foxsara@outlook.com,False,"Munich, Germany"
hgordon,hgordon@outlook.com,True,"Wuhan, China"
briantucker,briantucker@hotmail.com,True,"Ho Chi Minh City, Vietnam"
gina39,gina39@hotmail.com,False,"Moscow, Russia"
kelly38,kelly38@outlook.com,True,"São Luís, Brazil"
rodriguezphillip,rodriguezphillip@hotmail.com,True,"São Paulo, Brazil"
obrienerik,obrienerik@gmail.com,True,"Luanda, Angola"
charles28,charles28@hotmail.com,False,"Kolkata, India"
andrea87,andrea87@yahoo.com,True,"Melbourne, Australia"
currymichael,currymichael@gmail.com,True,"Melbourne, Australia"
andersonpamela,andersonpamela@yahoo.com,True,"Buenos Aires, Argentina"
belinda56,belinda56@gmail.com,False,"San Diego, United States"
theresadyer,theresadyer@yahoo.com,True,"Istanbul, Turkey"
wolfkenneth,wolfkenneth@outlook.com,False,"Yokohama, Japan"
karen32,karen32@outlook.com,True,"Ahmedabad, India"
laura73,laura73@yahoo.com,False,"Shenzhen, China"
michelle26,michelle26@outlook.com,True,"Rio de Janeiro, Brazil"
brianalexander,brianalexander@gmail.com,False,"Toronto, Canada"
brownjessica,brownjessica@gmail.com,False,"Toronto, Canada"
michael01,michael01@gmail.com,False,"Lusaka, Zambia"
booneshawn,booneshawn@yahoo.com,True,"Tel Aviv, Israel"
banksmary,banksmary@yahoo.com,False,"Yokohama, Japan"
romanaaron,romanaaron@gmail.com,False,"Shenzhen, China"
wilsonjennifer,wilsonjennifer@outlook.com,False,"London, United Kingdom"
hansonchristina,hansonchristina@outlook.com,True,"Cairo, Egypt"
aaron67,aaron67@outlook.com,False,"Luanda, Angola"
stephanie46,stephanie46@gmail.com,False,"Istanbul, Turkey"
zkennedy,zkennedy@yahoo.com,False,"Moscow, Russia"
kellycox,kellycox@hotmail.com,True,"Porto Alegre, Brazil"
michael46,michael46@yahoo.com,True,"Chongqing, China"
joneskimberly,joneskimberly@yahoo.com,False,"Nairobi, Kenya"
ganderson,ganderson@gmail.com,False,"Istanbul, Turkey"
brianjohnson,brianjohnson@yahoo.com,True,"Amsterdam, Netherlands"
laura56,laura56@outlook.com,False,"Ahmedabad, India"
jacobsrobert,jacobsrobert@hotmail.com,False,"Barcelona, Spain"
uschultz,uschultz@hotmail.com,False,"São Paulo, Brazil"
richardhill,richardhill@gmail.com,False,"Dhaka, Bangladesh"
jon38,jon38@hotmail.com,False,"Melbourne, Australia"
melody63,melody63@yahoo.com,False,"Shanghai, China"
gallen,gallen@hotmail.com,False,"Lahore, Pakistan"
courtney26,courtney26@hotmail.com,True,"Buenos Aires, Argentina"
david89,david89@outlook.com,True,"Accra, Ghana"
emily89,emily89@outlook.com,False,"Lisbon, Portugal"
leslie87,leslie87@outlook.com,True,"Buenos Aires, Argentina"
vargasdorothy,vargasdorothy@yahoo.com,False,"Buenos Aires, Argentina"
rstewart,rstewart@hotmail.com,False,"Bangalore, India"
kortega,kortega@hotmail.com,True,"Monterrey, Mexico"
ericdean,ericdean@yahoo.com,False,"Wuhan, China"
hughessusan,hughessusan@gmail.com,False,"Singapore, Singapore"
mercedes66,mercedes66@outlook.com,True,"Bangkok, Thailand"
iguerrero,iguerrero@outlook.com,False,"Nagoya, Japan"
james16,james16@gmail.com,True,"Jakarta, Indonesia"
john78,john78@outlook.com,True,"Santiago, Chile"
jsmith,jsmith@yahoo.com,False,"Riyadh, Saudi Arabia"
bradleyamanda,bradleyamanda@outlook.com,True,"Kuwait City, Kuwait"
phelpschristina,phelpschristina@gmail.com,False,"Pretoria, South Africa"
pthomas,pthomas@hotmail.com,False,"Lahore, Pakistan"
amandarice,amandarice@outlook.com,True,"Mumbai, India"
markcook,markcook@yahoo.com,False,"Beijing, China"
benjamin34,benjamin34@outlook.com,False,"Rio de Janeiro, Brazil"
armstrongbrandon,armstrongbrandon@outlook.com,True,"Lisbon, Portugal"
stephaniefox,stephaniefox@gmail.com,True,"Nagoya, Japan"
vgriffin,vgriffin@hotmail.com,True,"Lahore, Pakistan"
elizabeth40,elizabeth40@gmail.com,True,"Pyongyang, North Korea"
john94,john94@outlook.com,True,"Guangzhou, China"
lbaker,lbaker@hotmail.com,False,"Shanghai, China"
sherman,sherman@hotmail.com,False,"Manila, Philippines"
hutchinsonpamela,hutchinsonpamela@hotmail.com,False,"Durban, South Africa"
ddunn,ddunn@gmail.com,True,"Chengdu, China"
barnettcassandra,barnettcassandra@gmail.com,True,"Manila, Philippines"
juarezjavier,juarezjavier@yahoo.com,True,"San Antonio, United States"
aguilarmichael,aguilarmichael@gmail.com,False,"Manila, Philippines"
baxtereric,baxtereric@outlook.com,False,"Wuhan, China"
willisgilbert,willisgilbert@gmail.com,True,"Casablanca, Morocco"
michaelrodriguez,michaelrodriguez@yahoo.com,True,"San Antonio, United States"
jacksonchristopher,jacksonchristopher@yahoo.com,True,"Karachi, Pakistan"
barrettadrian,barrettadrian@hotmail.com,False,"Antananarivo, Madagascar"
jmccann,jmccann@hotmail.com,True,"Casablanca, Morocco"
drichards,drichards@yahoo.com,True,"Lahore, Pakistan"
keith58,keith58@hotmail.com,True,"Lusaka, Zambia"
riverastanley,riverastanley@outlook.com,True,"Tianjin, China"
renee78,renee78@gmail.com,True,"Tehran, Iran"
stevenbennett,stevenbennett@outlook.com,True,"Tokyo, Japan"
patriciarogers,patriciarogers@gmail.com,False,"Cairo, Egypt"
woodjames,woodjames@yahoo.com,False,"Houston, United States"
bethany64,bethany64@yahoo.com,False,"Hyderabad, India"
david51,david51@hotmail.com,True,"Kyiv, Ukraine"
xroth,xroth@gmail.com,False,"Jeddah, Saudi Arabia"
cbowers,cbowers@outlook.com,True,"Lisbon, Portugal"
stacy94,stacy94@gmail.com,False,"Pyongyang, North Korea"
cabreraveronica,cabreraveronica@gmail.com,True,"São Paulo, Brazil"
clarkechad,clarkechad@hotmail.com,False,"Brasília, Brazil"
tsalas,tsalas@outlook.com,True,"Luanda, Angola"
robert89,robert89@gmail.com,False,"Kolkata, India"
jeffrey58,jeffrey58@yahoo.com,False,"Luanda, Angola"
kimberly16,kimberly16@yahoo.com,True,"Houston, United States"
jreed,jreed@yahoo.com,True,"Guatemala City, Guatemala"
coltonwhite,coltonwhite@outlook.com,False,"Dallas, United States"
justin67,justin67@outlook.com,False,"London, United Kingdom"
marquezchristopher,marquezchristopher@outlook.com,True,"Tel Aviv, Israel"
tiffany83,tiffany83@yahoo.com,False,"Casablanca, Morocco"
msmith,msmith@outlook.com,True,"Casablanca, Morocco"
christopher51,christopher51@outlook.com,False,"Khartoum, Sudan"
uhernandez,uhernandez@gmail.com,True,"Sydney, Australia"
leslie26,leslie26@hotmail.com,True,"Recife, Brazil"
josephshaw,josephshaw@outlook.com,True,"Toronto, Canada"
donald99,donald99@hotmail.com,False,"Bangalore, India"
virginiaolson,virginiaolson@gmail.com,True,"Suzhou, China"
ualvarez,ualvarez@gmail.com,False,"San Diego, United States"
samantha28,samantha28@yahoo.com,False,"Pyongyang, North Korea"
karenperry,karenperry@gmail.com,False,"Paris, France"
orodriguez,orodriguez@hotmail.com,True,"Buenos Aires, Argentina"
frank41,frank41@gmail.com,False,"Monterrey, Mexico"
dariusatkinson,dariusatkinson@hotmail.com,True,"Tianjin, China"
lindamathis,lindamathis@hotmail.com,False,"Sydney, Australia"
corygarza,corygarza@gmail.com,False,"Durban, South Africa"
csmith,csmith@yahoo.com,True,"Chennai, India"
kelseypatterson,kelseypatterson@yahoo.com,False,"Ho Chi Minh City, Vietnam"
dustin79,dustin79@gmail.com,False,"Tianjin, China"
kevinhogan,kevinhogan@yahoo.com,True,"Chicago, United States"
meghankennedy,meghankennedy@gmail.com,True,"Kigali, Rwanda"
nancy52,nancy52@outlook.com,True,"Tashkent, Uzbekistan"
bwalsh,bwalsh@yahoo.com,True,"Tokyo, Japan"
dcox,dcox@outlook.com,False,"Ho Chi Minh City, Vietnam"
kelleywendy,kelleywendy@hotmail.com,False,"Porto Alegre, Brazil"
ethan32,ethan32@gmail.com,False,"Nairobi, Kenya"
djohnson,djohnson@outlook.com,False,"Casablanca, Morocco"
lawsontanya,lawsontanya@hotmail.com,True,"Dhaka, Bangladesh"
teresaconrad,teresaconrad@gmail.com,True,"Suzhou, China"
alexandrastuart,alexandrastuart@hotmail.com,True,"Riyadh, Saudi Arabia"
tjackson,tjackson@hotmail.com,False,"Dhaka, Bangladesh"
markvillarreal,markvillarreal@gmail.com,True,"Khartoum, Sudan"
desiree45,desiree45@hotmail.com,False,"San Antonio, United States"
rushadam,rushadam@hotmail.com,True,"Lima, Peru"
bethanyperez,bethanyperez@yahoo.com,False,"Rome, Italy"
wesleywhite,wesleywhite@yahoo.com,True,"Milan, Italy"
cbriggs,cbriggs@gmail.com,False,"Tashkent, Uzbekistan"
heather78,heather78@yahoo.com,False,"Barcelona, Spain"
brendanguyen,brendanguyen@hotmail.com,True,"Shanghai, China"
walkerlisa,walkerlisa@yahoo.com,False,"Shenzhen, China"
crystalestes,crystalestes@outlook.com,False,"Dhaka, Bangladesh"
april56,april56@outlook.com,False,"Luanda, Angola"
robert77,robert77@hotmail.com,True,"Lahore, Pakistan"
gregory15,gregory15@hotmail.com,True,"Chongqing, China"
ericgregory,ericgregory@gmail.com,True,"London, United Kingdom"
chansummer,chansummer@yahoo.com,True,"Munich, Germany"
tvaldez,tvaldez@gmail.com,False,"Accra, Ghana"
pamelasmith,pamelasmith@yahoo.com,True,"Milan, Italy"
troy15,troy15@yahoo.com,True,"Tianjin, China"
akelly,akelly@hotmail.com,False,"Bogotá, Colombia"
ggardner,ggardner@hotmail.com,True,"Fukuoka, Japan"
bullockmichael,bullockmichael@gmail.com,True,"Thessaloniki, Greece"
ibradley,ibradley@yahoo.com,True,"New York, United States"
garyfrederick,garyfrederick@gmail.com,True,"Guatemala City, Guatemala"
jfisher,jfisher@gmail.com,True,"Rio de Janeiro, Brazil"
tonicraig,tonicraig@outlook.com,False,"Antananarivo, Madagascar"
rivasmaria,rivasmaria@hotmail.com,False,"Luanda, Angola"
amber79,amber79@outlook.com,False,"Mexico City, Mexico"
watkinsrandall,watkinsrandall@yahoo.com,True,"Dallas, United States"
ryan59,ryan59@gmail.com,False,"Tianjin, China"
daychristina,daychristina@yahoo.com,True,"Lahore, Pakistan"
charles58,charles58@gmail.com,True,"Delhi, India"
markwatson,markwatson@gmail.com,False,"Belo Horizonte, Brazil"
churchamy,churchamy@gmail.com,True,"Mumbai, India"
katherinekramer,katherinekramer@hotmail.com,True,"Kolkata, India"
myersrobert,myersrobert@yahoo.com,False,"Chongqing, China"
sydney82,sydney82@gmail.com,False,"São Luís, Brazil"
lorrainewilliamson,lorrainewilliamson@gmail.com,True,"Bangkok, Thailand"
laura62,laura62@yahoo.com,False,"Rome, Italy"
brittneypeterson,brittneypeterson@hotmail.com,False,"Pyongyang, North Korea"
chelseasmith,chelseasmith@outlook.com,True,"Chennai, India"
qhall,qhall@gmail.com,True,"Bangalore, India"
kennethphillips,kennethphillips@yahoo.com,True,"Mumbai, India"
zodonnell,zodonnell@yahoo.com,True,"São Luís, Brazil"
wendy29,wendy29@outlook.com,True,"Tel Aviv, Israel"
williamkim,williamkim@outlook.com,True,"Shenzhen, China"
amandawoods,amandawoods@outlook.com,True,"Kuwait City, Kuwait"
laurawu,laurawu@hotmail.com,False,"Manila, Philippines"
melissalewis,melissalewis@yahoo.com,True,"Toronto, Canada"
iward,iward@outlook.com,False,"Ho Chi Minh City, Vietnam"
david15,david15@outlook.com,True,"London, United Kingdom"
adamsemily,adamsemily@gmail.com,False,"Munich, Germany"
lbarron,lbarron@outlook.com,True,"Yokohama, Japan"
hweaver,hweaver@yahoo.com,True,"Antananarivo, Madagascar"
mjohnson,mjohnson@gmail.com,True,"Fukuoka, Japan"
richard44,richard44@yahoo.com,True,"Philadelphia, United States"
tjones,tjones@yahoo.com,True,"Singapore, Singapore"
tvincent,tvincent@hotmail.com,True,"Mexico City, Mexico"
cynthiaross,cynthiaross@outlook.com,False,"Guangzhou, China"
dscott,dscott@hotmail.com,False,"Munich, Germany"
hubbardvalerie,hubbardvalerie@hotmail.com,True,"Houston, United States"
sarah65,sarah65@gmail.com,True,"Tianjin, China"
gravescalvin,gravescalvin@gmail.com,False,"Kolkata, India"
zlane,zlane@yahoo.com,False,"Kolkata, India"
robertwilson,robertwilson@hotmail.com,False,"San Diego, United States"
cathymorales,cathymorales@hotmail.com,True,"Moscow, Russia"
elizabethmeyer,elizabethmeyer@hotmail.com,False,"Rio de Janeiro, Brazil"
iclark,iclark@hotmail.com,True,"Zagreb, Croatia"
jessica19,jessica19@outlook.com,True,"Bogotá, Colombia"
ramseydylan,ramseydylan@hotmail.com,False,"Guangzhou, China"
thomashelen,thomashelen@outlook.com,True,"Bangalore, India"
tyleraguilar,tyleraguilar@gmail.com,False,"Houston, United States"
hbell,hbell@yahoo.com,False,"Recife, Brazil"
ybishop,ybishop@gmail.com,False,"Chongqing, China"
dhoward,dhoward@yahoo.com,False,"Cairo, Egypt"
dramirez,dramirez@outlook.com,True,"Atlanta, United States"
joseph74,joseph74@hotmail.com,False,"Lisbon, Portugal"
alvaradojeff,alvaradojeff@gmail.com,True,"Buenos Aires, Argentina"
hayessabrina,hayessabrina@yahoo.com,False,"Casablanca, Morocco"
kberry,kberry@gmail.com,False,"Shenzhen, China"
melissa09,melissa09@yahoo.com,True,"Brasília, Brazil"
craigmichael,craigmichael@outlook.com,True,"Pretoria, South Africa"
williamadams,williamadams@gmail.com,False,"Guangzhou, China"
leekristin,leekristin@yahoo.com,True,"Pyongyang, North Korea"
zorr,zorr@yahoo.com,False,"Santiago, Chile"
danawatson,danawatson@gmail.com,True,"Lagos, Nigeria"
jasonhenderson,jasonhenderson@gmail.com,True,"Casablanca, Morocco"
maria46,maria46@outlook.com,False,"Medellín, Colombia"
coxtracey,coxtracey@hotmail.com,True,"Thessaloniki, Greece"
melissascott,melissascott@yahoo.com,True,"Kampala, Uganda"
abyrd,abyrd@outlook.com,True,"Beijing, China"
steven42,steven42@hotmail.com,True,"Lisbon, Portugal"
sarah73,sarah73@yahoo.com,True,"Rio de Janeiro, Brazil"
douglasnelson,douglasnelson@hotmail.com,False,"Rio de Janeiro, Brazil"
lindamcbride,lindamcbride@yahoo.com,False,"Manila, Philippines"
fletcherryan,fletcherryan@outlook.com,True,"Belo Horizonte, Brazil"
melissa37,melissa37@gmail.com,True,"Nagoya, Japan"
ycarrillo,ycarrillo@yahoo.com,False,"Dallas, United States"
brollins,brollins@gmail.com,False,"Recife, Brazil"
alyssasmith,alyssasmith@yahoo.com,True,"Delhi, India"
lisa75,lisa75@gmail.com,False,"Sydney, Australia"
